S'	NP_PRP	PP	0.3	
VP'	ADVP_RB	VB	0.02564102564102564	
SQ'	NP	VP	0.11688311688311688	
VP	NP_NNP	VB	0.011428571428571429	
NP'	CC	NP_NNP	0.021505376344086023	
NP	NP'	PP	0.08735332464146023	
WHNP	NNS	WHADJP	0.009708737864077669	
SQ_VP	NP	SQ_VP'	0.017543859649122806	
NX	NN	NN	0.5	
FRAG_NP	NP_NNS	VP	0.008620689655172414	
S_VP	NP_PRP	VB	0.012987012987012988	
NP	DT	JJS	0.001303780964797914	
FRAG_NP	NN	NNS	0.008620689655172414	
X	IN	WRB	0.16666666666666666	
PP	ADJP_JJ	IN	0.0013175230566534915	
TOP	PUNC	X_S_VP	0.0018975332068311196	
SQ	SQ'	X	0.011363636363636364	
SQ_VP'	PP	VBP	0.4666666666666667	
NP	DT	JJ	0.007822685788787484	
FRAG	INTJ_UH	NP	0.030303030303030304	
FRAG'	FRAG'	PP	0.2	
SBARQ	SBARQ'	SQ_VP	0.008403361344537815	
FRAG_VP'	PP	VBG	0.42857142857142855	
S_VP	S_VP'	VP	0.01948051948051948	
FRAG	PP	WHNP	0.030303030303030304	
PP	NP	TO	0.08563899868247694	
SQ	NP	VBZ	0.3181818181818182	
TOP	PUNC	S_VP	0.2049335863377609	
NP'	CD	NN	0.013440860215053764	
S	NP_NN	VP_VBN	0.014705882352941176	
QP'	IN	QP'	0.07142857142857142	
SBARQ	SQ_VP	WHNP_WDT	0.05042016806722689	
VP'	NP_PRP	VB	0.1282051282051282	
S'	ADVP_RB	NP_PRP	0.3	
FRAG_NP	FRAG_NP'	NP_NN	0.017241379310344827	
NP'	RB	VBG	0.002688172043010753	
VP	NP_NNP	VBG	0.005714285714285714	
S_VP	NP	VBZ	0.006493506493506494	
NP'	JJ	NNP	0.002688172043010753	
VP	NP_NN	VP'	0.005714285714285714	
QP	CD	QP'	0.7142857142857143	
NP	CD	CD	0.002607561929595828	
S_VP	NP_NN	VBP	0.012987012987012988	
NP	CD	NNS	0.002607561929595828	
FRAG	FRAG'	VP	0.030303030303030304	
FRAG'	PP	PP	0.13333333333333333	
NP	NP_NNS	SBAR	0.001303780964797914	
VP'	VP'	X_TO	0.02564102564102564	
NP	NP'	NP_NNP	0.005215123859191656	
NP'	NP	NP	0.005376344086021506	
TOP	FRAG_ADJP_JJS	PUNC	0.0018975332068311196	
NP'	JJ	JJ	0.002688172043010753	
NP	QP	RB	0.003911342894393742	
S_VP	ADVP	VBP	0.006493506493506494	
SBARQ	SQ_VP	WHNP	0.4117647058823529	
S_VP'	PP	VB	0.010869565217391304	
FRAG_NP	JJS	NNS	0.008620689655172414	
FRAG_NP	FRAG_NP'	SBAR	0.008620689655172414	
VP'	PRT_RP	VB	0.02564102564102564	
FRAG_NP	FRAG_NP'	NNS	0.02586206896551724	
NP'	DT	PDT	0.010752688172043012	
TOP	FRAG_NP_NNS	PUNC	0.0018975332068311196	
PP	IN	NP_NNPS	0.0013175230566534915	
TOP	INTJ_UH	PUNC	0.003795066413662239	
PP	NP	PP'	0.0013175230566534915	
TOP	PUNC	X_SBARQ	0.0018975332068311196	
WHNP_WHNP	NNS	WDT	0.9130434782608695	
NP	NNP	NNS	0.001303780964797914	
SQ_VP	ADVP_RB	VBP	0.017543859649122806	
WHNP	PP	WHNP	0.038834951456310676	
ADVP	NP	RB	0.5714285714285714	
FRAG_NP'	NP_NNS	PP	0.35344827586206895	
NP'	NP'	X_JJ	0.002688172043010753	
S	NP_NNP	VP_VBZ	0.014705882352941176	
PP	ADVP_RB	TO	0.0013175230566534915	
NP'	CC	NP_NN	0.002688172043010753	
NP	JJ	NNP	0.00651890482398957	
SQ_VP	ADJP_JJR	VBZ	0.03508771929824561	
QP'	IN	JJS	0.14285714285714285	
SBAR_S_VP	TO	VP_VB	1.0	
PP'	CC	IN	0.25	
NP	NP_NNS	VP	0.003911342894393742	
NP'	NP'	VP	0.002688172043010753	
S_VP	PP	VBZ	0.01948051948051948	
QP'	CD	CD	0.21428571428571427	
SQ_VP	VBP	VP	0.017543859649122806	
NP	NP	NP	0.002607561929595828	
FRAG_PP	IN	NP_NNP	0.3333333333333333	
WHNP	ADJP_JJ	WHNP	0.009708737864077669	
PP'	IN	PP'	0.25	
FRAG_WHNP	PP	WHNP	0.027777777777777776	
FRAG_NP'	CC	NP	0.008620689655172414	
