NX_NN	aircraft	0.00041050903119868636	
MD	'd	0.0026683087027914616	
NP_NNP	Milwaukee	0.004105090311986864	
ADVP_RB	last	0.00041050903119868636	
VBP	do	0.0014367816091954023	
NN	coach	0.0006157635467980296	
NP_PRP	I	0.010057471264367816	
JJ	round	0.003694581280788177	
VB	stop	0.00041050903119868636	
NP_NNS	Flights	0.010057471264367816	
ADJP_JJR	better	0.0006157635467980296	
VBG	Departing	0.0012315270935960591	
VB	Thank	0.0006157635467980296	
IN	around	0.0014367816091954023	
NP_NNP	Phoenix	0.004310344827586207	
NNP	Tuesday	0.00041050903119868636	
VB	<unk>	0.002052545155993432	
JJ	Round	0.0006157635467980296	
NP_NNP	Cincinnati	0.002052545155993432	
FRAG_ADJP_JJS	Cheapest	0.00041050903119868636	
RB	around	0.0008210180623973727	
NNS	fares	0.004105090311986864	
NNP	S	0.0008210180623973727	
NP_NN	Flight	0.0012315270935960591	
NNP	Jersey	0.001026272577996716	
RB	as	0.00041050903119868636	
NP_NNP	American	0.0006157635467980296	
VB	serve	0.0016420361247947454	
VB	return	0.0006157635467980296	
VP_VB	leave	0.00041050903119868636	
ADJP_JJ	<unk>	0.0008210180623973727	
VBP	have	0.0016420361247947454	
CD	<unk>	0.0018472906403940886	
NP_NNS	meals	0.00041050903119868636	
JJS	Cheapest	0.003078817733990148	
NN	nonstop	0.0006157635467980296	
RB	much	0.0012315270935960591	
NP_NNS	fares	0.00041050903119868636	
RBS	least	0.00041050903119868636	
JJ	many	0.0008210180623973727	
NNP	N	0.0006157635467980296	
NNS	flights	0.03489326765188834	
RB	o'clock	0.0014367816091954023	
NN	day	0.0008210180623973727	
VBG	<unk>	0.0012315270935960591	
VBP	want	0.0008210180623973727	
VB	visit	0.0006157635467980296	
VBP	leave	0.003078817733990148	
NNP	Petersburg	0.001026272577996716	
NP_NNP	Chicago	0.002052545155993432	
NP_NNP	Dallas	0.003694581280788177	
NNP	Francisco	0.0038998357963875205	
NNP	Ontario	0.00041050903119868636	
VBN	<unk>	0.00041050903119868636	
NP_NNP	<unk>	0.0018472906403940886	
VBG	Leaving	0.001026272577996716	
